network,architecture,depth,width,k,r,p,accuracy
bottleneck_10_128,bottleneck,10,128,250,-0.6263215711705489,0.07112437014316995,0.5005000233650208
bottleneck_10_128,bottleneck,10,128,350,-0.8217570218573641,0.006581434486969959,0.5005000233650208
bottleneck_10_128,bottleneck,10,128,450,-0.9443189136500716,0.00012698902518680188,0.5005000233650208
bottleneck_10_128,bottleneck,10,128,500,-0.9789489570139575,4.365888220705584e-06,0.5005000233650208
bottleneck_10_128,bottleneck,10,128,600,-0.9104112872239704,0.0006486000817109227,0.5005000233650208
bottleneck_11_128,bottleneck,11,128,250,-0.09887077865355123,0.785822028571023,0.765500009059906
bottleneck_11_128,bottleneck,11,128,350,-0.05453870356404592,0.8810508175301606,0.765500009059906
bottleneck_11_128,bottleneck,11,128,450,-0.10883715363925879,0.7647189368282019,0.765500009059906
bottleneck_11_128,bottleneck,11,128,500,-0.2823209621426155,0.42933758377948783,0.765500009059906
bottleneck_11_128,bottleneck,11,128,600,-0.565433025775533,0.08848114259514728,0.765500009059906
bottleneck_12_128,bottleneck,12,128,250,-0.9926553585507071,1.4444709340545049e-09,0.9415000081062317
bottleneck_12_128,bottleneck,12,128,350,-0.9997422857956325,4.143590793578585e-16,0.9415000081062317
bottleneck_12_128,bottleneck,12,128,450,-0.9953212315030593,1.9058757097467745e-10,0.9415000081062317
bottleneck_12_128,bottleneck,12,128,500,-0.988184990961645,1.2190024142515553e-08,0.9415000081062317
bottleneck_12_128,bottleneck,12,128,600,-0.9906106814689151,4.349296383025479e-09,0.9415000081062317
bottleneck_4_128,bottleneck,4,128,250,-0.9867706164389727,0.10366803764295698,0.5885000228881836
bottleneck_4_128,bottleneck,4,128,350,-0.9999428162695715,0.006808217665524728,0.5885000228881836
bottleneck_4_128,bottleneck,4,128,450,-0.9999530144847646,0.006171330681956523,0.5885000228881836
bottleneck_4_128,bottleneck,4,128,500,-0.9997833305325672,0.013252622294533927,0.5885000228881836
bottleneck_4_128,bottleneck,4,128,600,-0.9284821619392891,0.24222850479517577,0.5885000228881836
bottleneck_5_128,bottleneck,5,128,250,-0.3981548229528316,0.6018451770471684,0.6894999742507935
bottleneck_5_128,bottleneck,5,128,350,-0.7757082073134121,0.22429179268658794,0.6894999742507935
bottleneck_5_128,bottleneck,5,128,450,-0.8105499667689324,0.18945003323106757,0.6894999742507935
bottleneck_5_128,bottleneck,5,128,500,-0.820560193903546,0.17943980609645394,0.6894999742507935
